id,text,category,pro,contra,type,politikbereich,question,offene_aussenpolitik,liberale_wirtschaftspolitik,restriktive_finanzpolitik,law_and_order,restriktive_migrationspolitik,ausgebauter_umweltschutz,ausgebauter_sozialstaat,liberale_gesellschaft,subcategory,question_number_in_subcategory
5176,Sollen im Kanton Bern alle Schulen als Tagesschulen mit freiwilligem Betreuungsangebot geführt werden?,Education,<p><br></p>,<p><br></p>,StandardQuestion,Bildung & Schule,Sollen im Kanton Bern alle Schulen als Tagesschulen mit freiwilligem. Betreuungsangebot geführt werden?,,,,,,,,1,Bildung & Schule,3
5178,"Soll der Kanton schwache Schüler/-innen stärker unterstützen (z.B. Unterstützungsangebote durch Sozialpädagog/-innen, Gutscheine für Nachhilfe-/Förderunterricht)?",Education,<p><br></p>,<p><br></p>,StandardQuestion,Bildung & Schule,"Soll der Kanton schwache Schüler/-innen stärker unterstützen (z. B. Unterstützungsangebote durch Sozialpädagog/-innen, Gutscheine für Nachhilfe-/Förderunterricht)?",,,,,,,1,,Bildung & Schule,4
5186,Sollen alle in der Schweiz geborenen Personen das Schweizer Bürgerrecht erhalten («ius soli»-Prinzip)?,Immigration & integration,<p><br></p>,<p><br></p>,StandardQuestion,Migration & Integration,"Soll der Kanton Ben Ausländer/-innen bei der Integration stärker unterstützen (z. B. ausgebaute Sprachförderung, zusätzliche Sozialarbeiter/ innen)?",,,,-1,,,,,Migration & Integration,1
5180," Soll der Kanton Bern Ausländer/-innen bei der Integration stärker unterstützen (z.B. ausgebaute Sprachförderung, zusätzliche Sozialarbeiter/-innen)?",Immigration & integration,<p><br></p>,<p><br></p>,StandardQuestion,Migration & Integration,"Soll sich der Kanton Bern dafür einsetzen, dass mehr Geflüchtete aus Lagern direkt vor Ort (z. B. Griechenland) aufgenommen werden (sogenannte 1 Resettlement-Flüchtlinge)?",1,,,-1,,,,,Migration & Integration,2
5182,"Soll sich der Kanton Bern dafür einsetzen, dass mehr Geflüchtete aus Lagern direkt vor Ort (z.B. Griechenland) aufgenommen werden (sogenannte Resettlement-Flüchtlinge)?",Immigration & integration,<p><br></p>,<p><br></p>,StandardQuestion,Migration & Integration,Der Kanton Bern hat die Sozialhilfe für vorläufig aufgenommene Personen reduziert. Befürworten Sie dies?,,,,1,,,,,Migration & Integration,3
5184, Der Kanton Bern hat die Sozialhilfe für vorläufig aufgenommene Personen reduziert. Befürworten Sie dies?,Immigration & integration,<p><br></p>,<p><br></p>,StandardQuestion,Migration & Integration,Sollen alle in der Schweiz geborene Personen das Schweizer Bürgerrecht erhalten (xius soli»-Prinzip)?,,,,-1,,,,,Migration & Integration,4
5188,"Sollen Ausländer/innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten? [BePart-Bürger/-innenfrage]",Immigration & integration,"<ul><li>Viele Ausländer/-innen wohnen seit mehr als zehn Jahren bei uns. Sie bezahlen Steuern und Sozialversicherungsbeiträge, haben Kinder, die hier zur Schule gehen und engagieren sich in Vereinen und in den Gemeinden. Daher ist es stossend, dass sie über keine politischen Rechte verfügen, obschon sie all ihren Pflichten nachkommen.</li><li>Grundsätzlich gilt, dass wer von politischen Entscheidungen betroffen ist, diese auch mitgestalten dürfen soll.</li><li>&nbsp;Das Ausländerstimmrecht fördert die Integration der Ausländer/-innen, indem sie mit dem politischen System und der politischen Kultur der Schweiz vertraut werden.</li></ul>","<ul><li>Das Stimm- und Wahlrecht soll den Schweizer Bürger/-innen vorbehalten bleiben. Der Weg zum Stimmrecht muss über die Einbürgerung laufen. Grundlage für Gewährung politischer Rechte sind Sprachkenntnisse, Vertrautheit mit dem politischen System und die Akzeptanz des Rechtssystems und der demokratischen Werte. Ist eine Person gut integriert und erfüllt diese Grundlagen, so soll sie den Schritt zur Einbürgerung machen.</li><li>Durch die Einführung des Ausländerstimmrechts werden die Schweizer/-innen und Schweizer schlechter gestellt, da Ausländer/-innen zwar stimmen dürfen, aber nicht alle Pflichten wie zum Beispiel die Wehrpflicht übernehmen müssen.</li><li>Es gibt alternative Wege, sich politisch zu beteiligen. So führen z.B. immer mehr Gemeinden Ausländermotionen ein, welche Ausländer/-innen die Gelegenheit gibt, politische Vorstösse ins Gemeindeparlament einzubringen.</li></ul>",StandardQuestion,Migration & Integration,"Sollen Ausländer/innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",,,,-1,,,,1,Migration & Integration,5
5200,Würden Sie eine Senkung der Unternehmenssteuern im Kanton Bern befürworten?,Finances & taxes,<p><br></p>,<p><br></p>,StandardQuestion,"Gesellschaft, Kultur & Ethik",Soll der Konsum von Cannabis legalisiert werden?,,,,-1,,,,1,"Gesellschaft, Kultur & Ethik",1
5202,"Soll die kantonale Schuldenbremse gelockert werden, um Investitionen einfacher zu ermöglichen?",Finances & taxes,<p><br></p>,<p><br></p>,StandardQuestion,"Gesellschaft, Kultur & Ethik",Soll während der Coronavirus-Pandemie (Covid-19) auf staatliche Einschränkungen im Privat- und Wirtschaftsleben weitgehend verzichtet werden (Eigenverantwortung der Bevölkerung)?,,1,,,,,,,"Gesellschaft, Kultur & Ethik",2
5204,Befürworten Sie Steuersenkungen für natürliche Personen in den nächsten vier Jahren?,Finances & taxes,<p><br></p>,<p><br></p>,StandardQuestion,"Gesellschaft, Kultur & Ethik",Der Kanton Bern unterstützt die Landeskirchen aus allgemeinen Steuermitteln jährlich mit rund 74 Millionen Franken. Befürworten Sie dies?,,,,,,,,-1,"Gesellschaft, Kultur & Ethik",3
5206,Im Kanton Bern sollen die Motorfahrzeugsteuern für Fahrzeuge mit hohem Verbrauch erhöht werden (bei gleichzeitiger Senkung der Einkommenssteuern). Befürworten Sie diese Vorlage (Abstimmung vom 13. Februar)?,Finances & taxes,<p><br></p>,<p><br></p>,StandardQuestion,"Gesellschaft, Kultur & Ethik",Soll sich die kantonale Kulturförderung stärker auf kulturelle Angebote ausserhalb der städtischen Zentren konzentrieren?,,,,,,,,,"Gesellschaft, Kultur & Ethik",4
5208,Soll der Kanton Bern die Ansiedlung neuer Firmen im Kanton steuerlich unterstützen?,Economy & labour,<p><br></p>,<p><br></p>,StandardQuestion,"Gesellschaft, Kultur & Ethik",Soll der Kanton die Berichterstattung in regionalen Medien zur kantonalen Politik finanziell unterstützen (z. B. über eine Förderstiftung)?,,,-1,,,,,,"Gesellschaft, Kultur & Ethik",5
5210,"Soll der Kanton das Service-Public-Angebot (z.B. ÖV-Verbindungen, Poststellen) in den ländlichen Regionen stärker fördern?",Economy & labour,<p><br></p>,<p><br></p>,StandardQuestion,Finanzen & Steuern,Würden Sie eine Senkung der Unternehmenssteuem im Kanton Bern befürworten?,,,1,,,,,,Finanzen & Steuem,1
5212,Befürworten Sie die Einführung eines (kantonalen) Mindestlohns von CHF 4'000 für eine Vollzeitstelle? [BePart-Bürger/-innenfrage],Economy & labour,<p><br></p>,<p><br></p>,StandardQuestion,Finanzen & Steuern,"Soll die kantonale Schuldenbremse gelockert werden, um Investitionen einfacher zu ermöglichen?",,,-1,,,,,,Finanzen & Steuem,2
5214, Befürworten Sie eine vollständige Liberalisierung der Geschäftsöffnungszeiten (Festlegung nach freiem Ermessen unter Berücksichtigung des Arbeitsgesetzes)?,Economy & labour,"<ul><li>Die Liberalisierung der Geschäftsöffnungszeiten trägt den veränderten Arbeits- und Freizeitgewohnheiten der Bevölkerung Rechnung.</li><li>Die Liberalisierung der Geschäftsöffnungszeiten führt dazu, dass im Wettbewerb alle Geschäfte in der ganzen Schweiz die gleichen Ausgangsbedingungen haben. Heute besteht eine Vielzahl an unterschiedlichen Regelungen in den Kantonen.</li><li>Bestehende Arbeitsschutzbestimmungen sorgen dafür, dass die Liberalisierung nicht zu Lasten des Verkaufspersonals geht.</li></ul>","<ul><li>Die Liberalisierung der Geschäftsöffnungszeiten führt zu längeren Ladenöffnungszeiten und zu Mehrarbeit für das Verkaufspersonal. Da diese Mehrarbeit insbesondere am Abend und an Wochenenden geleistet werden muss, leiden das soziale Leben und das Familienleben sowie die Gesundheit der Angestellten.</li><li>Die Konsumenten/-innen haben auch bei liberaleren Ladenöffnungszeiten nicht mehr Geld zur Verfügung. Darum werden Umsatz und Gewinn der Geschäfte bei einer vollständigen Liberalisierung der Geschäftsöffnungszeiten nicht steigen.</li><li>Nicht zuletzt ist der Sonntag in unserer christlichen Gesellschaft für viele ein Tag der Ruhe und Besinnung. Durch die Liberalisierung wird der Sonntag immer mehr zu einem normalen Arbeitstag.</li></ul>",StandardQuestion,Finanzen & Steuern,Befürworten Sie Steuerserikungen für natürliche Personen in den nächsten vier Jahren?,,,1,,,,,,Finanzen & Steuem,3
5216,"Soll der Kanton auf die Erbringung eigener Dienstleistungen verzichten, falls dadurch private Angebote konkurrenziert werden?",Economy & labour,<p><br></p>,<p><br></p>,StandardQuestion,Finanzen & Steuern,Im Kanton Bern sollen die Motorfahrzeugsteuern für Fahrzeuge mit hohem Verbrauch erhöht werden (bei gleichzeitiger Senkung der Einkommenssteuern). Befürworten Sie diese Vorlage (Abstimmung vom 13. Februar)?,,,,,,1,,,Finanzen & Steuem,4
5218,Befürworten Sie eine strengere Kontrolle der Lohngleichheit von Frauen und Männern im Kanton?,Economy & labour,"<ul><li>Die Lohnabrechnung der Frauen ist im Durchschnitt jeden Monat um 1455 Franken tiefer als jene der Männer (2016). 44% des Lohnunterschieds von 18.3% können nicht erklärt werden und enthalten eine potentielle Lohndiskriminierung aufgrund des Geschlechts.</li><li>Die Lohndiskriminierung ist ein strukturelles Problem. Wie auch in anderen Bereichen der Arbeitswelt (Bsp.: Mindestlöhne, Kündigungsschutz, Arbeitszeiten) braucht es hierbei Kontrollmechanismen in Form staatlicher Interventionen.</li><li>Frauen können sich zwar vor dem Arbeitsgericht wehren, jedoch riskieren sie dadurch eine Entlassung. Denn vor Rache-Kündigungen sind sie nur während sechs Monaten geschützt.</li></ul>","<ul><li>Es kann nicht abschliessend erklärt werden, ob und in welchem Ausmass Frauen bei den Löhnen diskriminiert werden.</li><li>Es soll keine staatliche Einmischung in die Lohnpolitik geben. Die Kontrolle über die Löhne gehört allein dem Arbeitgeber.</li><li>Frauen könnten sich bereits jetzt vor Arbeitsgericht wehren, wenn sie betreffend Lohn diskriminiert werden.&nbsp;</li></ul>",StandardQuestion,Wirtschaft & Arbeit,Soll der Kanton Bern die Ansiedlung neuer Firmen im Kanton steuerlich unterstützen?,,,1,,,,,,Wirtschaft & Arbeit,1
5264,"Wie beurteilen Sie diese Aussage: ""Für ein Kind ist es am besten, wenn ein Elternteil Vollzeit für die Kinderbetreuung zu Hause bleibt.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Wirtschaft & Arbeit,"Soll der Kanton das Service-Public-Angebot (z. B. OV-Verbindungen, Poststellen) in den ländlichen Regionen stärker förden?",,,-1,,,,,,Wirtschaft & Arbeit,2
5258,"Wie beurteilen Sie diese Aussage: ""Wer sich nichts zuschulden kommen lässt, hat von staatlichen Sicherheitsmassnahmen nichts zu befürchten.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Wirtschaft & Arbeit,Befürworten Sie die Einführung eines (kantonalen) Mindestlohns von CHF 4'000 für eine Vollzeitstelle?,,-1,,,,,,,Wirtschaft & Arbeit,3
5260,"Wie beurteilen Sie die folgende Aussage: ""Von einer freien Marktwirtschaft profitieren langfristig alle.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Wirtschaft & Arbeit,Befürworten Sie eine vollständige Liberalisierung der Geschäftsöffnungszeiten Festlegung nach freiem Ermessen unter Berücksichtigung des Arbeitsgesetzes)?,,1,,,,,,,Wirtschaft & Arbeit,4
5262,"Wie beurteilen Sie diese Aussage: ""Vermögende sollen sich stärker an der Finanzierung des Staates beteiligen.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Wirtschaft & Arbeit,"Soll der Kanton auf die Erbringung eigener Dienstleistungen verzichten, falls dadurch private Angebote konkurrenziert werden?",,1,,,,,,,Wirtschaft & Arbeit,5
5266,"Wie beurteilen Sie die folgende Aussage: ""Die fortschreitende Digitalisierung bietet deutlich mehr Chancen als Risiken.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Wirtschaft & Arbeit,Befurworten Sie eine strengere Kontrolle der Lohngleichheit von Frauen und Männern im Kanton?,,-1,,,,,,1,Wirtschaft & Arbeit,6
5268,"Wie beurteilen Sie diese Aussage: ""Die Bestrafung Krimineller ist wichtiger als deren Wiedereingliederung in die Gesellschaft.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Raumplanung,Soll der Kanton Bem den gemeinnützigen Wohnungsbau finanziell stärker fördem?,,,-1,,,,1,,Raumplanung,1
5270,"Wie beurteilen Sie die folgende Aussage: ""Ein stärkerer Umweltschutz ist notwendig, auch wenn er zu Lasten des Wirtschaftswachstums durchgesetzt werden muss.""",Values,<p><br></p>,<p><br></p>,Slider7Question,Raumplanung,Sollen nicht mehr genutzte Gebäude in der Landwirtschaftszone (z. B. Ställe/Scheunen) als Ferien- und Wohnhäuser genutzt werden dürfen?,,1,,,,-1,,,Raumplanung,2
5190,Soll der Konsum von Cannabis legalisiert werden?,"Gesellschaft, Kultur & Ethik","<ul><li>Den Konsum von Drogen zu verbieten, rechtfertigt sich, wenn auf diese Weise Minderjährige wirksam vor den Drogen geschützt werden können. Das heutige Verbot hat aber das Drogenangebot keineswegs reduziert.</li><li>Die Illegalität von Cannabis erschwert es, die Qualität der Substanz zu kontrollieren. Dadurch ist immer häufiger gestrecktes Cannabis im Umlauf, was für den Verbraucher erhebliche Folgen haben kann. Mit einer Legalisierung könnten staatliche Kontrollen erfolgen.</li><li>Wo eine Nachfrage existiert, bildet sich immer ein Markt. Verbleibt dieser aber in der Illegalität, leistet er Vorschub für illegale Geschäftspraktiken und fördert das Wachstum der organisierten Kriminalität. Durch eine Legalisierung könnte der Staat diesen Markt regulieren, was zu einer Senkung der Drogen- und Beschaffungskriminalität führen würde.</li><li>Die Erfahrungen anderer Länder wie z.B. Portugal und die Niederlande lehren, dass die Legalisierung von Cannabis den landesweiten Konsum nicht erhöht.</li></ul>","<ul><li>Für viele Menschen ist das Konsumverbot der entscheidende Grund, nicht mit dem Drogenkonsum zu beginnen. Würde dieses Verbot nun aufgehoben, würde die Hemmschwelle sinken und die Anzahl Konsumenten steigen. Gerade Cannabis kann als Einstiegsdroge dienen, welche die Gefahr für den Konsum von harten Drogen erhöht.</li><li>Durch eine Legalisierung von Cannabis könnte der Schwarzmarkt wohl kaum vollständig durch einen legalen Markt verdrängt werden. Die Drogendealer würden vielmehr noch aggressiver auf die Minderjährigen zugehen, da für diese der Zugang zu Cannabis ja verboten bliebe. Der Jugendschutz würde dadurch zusätzlich gefährdet.</li><li>Schliesslich hat das Volk im November 2008 das geltende Betäubungsmittelgesetz bestätigt und sich damit auch für Repression und Strafen ausgesprochen.</li></ul>",StandardQuestion,Umwelt & Energie,"Eine kantonale Volksinitiative fordert, dass auf allen geeigneten Gebäuden bis spätestens 2040 Solaranlagen installiert werden müssen. Befürworten Sie dies?",,,,,,,1,,Umwelt & Energie,1
5192,Soll während der Coronavirus-Pandemie (Covid-19) auf staatliche Einschränkungen im Privat- und Wirtschaftsleben weitgehend verzichtet werden (Eigenverantwortung der Bevölkerung)?,"Gesellschaft, Kultur & Ethik",<p><br></p>,<p><br></p>,StandardQuestion,Umwelt & Energie,"Sollen Landwirte only noch dann Direktzahlungen erhalten, wenn sie einen erweiterten ökologischen Leistungsnachweis erbringen (z. B. Reduktion von Pestiziden und Antibiotika, Erhöhung des Tierwahls)?",,,,,,,1,,Umwelt & Energie,2
5194,Der Kanton Bern unterstützt die Landeskirchen aus allgemeinen Steuermitteln jährlich mit rund 74 Millionen Franken. Befürworten Sie dies?,"Gesellschaft, Kultur & Ethik",<p><br></p>,<p><br></p>,StandardQuestion,Umwelt & Energie,Befürworten Sie ein Verbot von Heizungen mit fossilen Energieträgern (Erdöl und Erdgas) bei Neubauten und Ersatz bisheriger Anlagen?,,-1,,,,,1,,Umwelt & Energie,3
5196,Soll sich die kantonale Kulturförderung stärker auf kulturelle Angebote ausserhalb der städtischen Zentren konzentrieren?,"Gesellschaft, Kultur & Ethik",<p><br></p>,<p><br></p>,StandardQuestion,Umwelt & Energie,Soll das bestehende Bauverbot für neue Atomkraftwerke aufgehoben werden?,,1,,,,,-1,,Umwelt & Energie,4
5198,Soll der Kanton die Berichterstattung in regionalen Medien zur kantonalen Politik finanziell unterstützen (z.B. über eine Förderstiftung)?,"Gesellschaft, Kultur & Ethik",<p><br></p>,<p><br></p>,StandardQuestion,Umwelt & Energie,Soll der Kanton Bem zur Erreichung der Klimaziele vollständig auf finanzielle Anreize statt auf Verbote setzen?,,1,,,,,,,Umwelt & Energie,5
5252,Soll die Polizeipräsenz im Kanton Bern ausgebaut werden?,Sicherheit & Polizei,<p><br></p>,<p><br></p>,StandardQuestion,Umwelt & Energie,Befürworten Sie das geplante Stauseeprojekt unterhalb des Triftgletschers im Gadmertal?,,,,,,,,,Umwelt & Energie,6
5254,Würden Sie ein generelles Verbot von Software zur automatischen Gesichtserkennung begrüssen (z.B. bei Videoüberwachung)?,Sicherheit & Polizei,<p><br></p>,<p><br></p>,StandardQuestion,Verkehr & Infrastruktur,Soll im Kanton Bern die Infrastruktur für den Langsamverkehr (z. B. Velowege) ausgebaut werden?,,,,,,,1,,Verkehr & Infrastruktur,1
5256,Sollen unbewilligte Demonstrationen konsequent durch die Polizei aufgelöst werden?,Sicherheit & Polizei,<p><br></p>,<p><br></p>,StandardQuestion,Verkehr & Infrastruktur,Unterstützen Sie den Ausbau von Überlandstrassen und Autobahnen zur Beseitigung von Verkehrsengpässen?,,,,,,,-1,,Verkehr & Infrastruktur,2
5236,Soll im Kanton Bern die Infrastruktur für den Langsamverkehr (z.B. Velowege) ausgebaut werden? [BePart-Bürger/-innenfrage],Verkehr & Infrastruktur,<p><br></p>,<p><br></p>,StandardQuestion,Verkehr & Infrastruktur,Soll der Kanton mit einer OV-Offensive einen Ausbau der Bus- und S-Bahnlinien vorantreiben?,,,,,,,1,,Verkehr & Infrastruktur,3
5238,Unterstützen Sie den Ausbau von Überlandstrassen und Autobahnen zur Beseitigung von Verkehrsengpässen?,Verkehr & Infrastruktur,<p><br></p>,<p><br></p>,StandardQuestion,Politisches System & Aussenbeziehungen,Soll die Finanzierung von Parteiern sowie von Wahl- und Abstimmungskampagnen im Kanton Bern offengelegt werden müssen?,,,,,,,,,Politisches System & Aussenbeziehungen,1
5240,Soll der Kanton mit einer ÖV-Offensive einen Ausbau der Bus- und S-Bahnlinien vorantreiben?,Verkehr & Infrastruktur,<p><br></p>,<p><br></p>,StandardQuestion,Politisches System & Aussenbeziehungen,Soll das Stimmrechtsalter auf 16 Jahre gesenkt werden?,,,,,,,,,Politisches System & Aussenbeziehungen,2
5232,Soll der Kanton Bern zur Erreichung der Klimaziele vollständig auf finanzielle Anreize statt auf Verbote setzen?,Energie & Umwelt,<p><br></p>,<p><br></p>,StandardQuestion,Politisches System & Aussenbeziehungen,Soll der Kanton Ben sein finanzielles Engagement bei der Entwicklungszusammenarbeit ausbauen?,1,,-1,,,,,,Politisches System & Aussenbeziehungen,3
5234,Befürworten Sie das geplante Stauseeprojekt unterhalb des Triftgletschers im Gadmertal?,Energie & Umwelt,<p><br></p>,<p><br></p>,StandardQuestion,Politisches System & Aussenbeziehungen,Soll die Schweiz das Schengen-Abkommen mit der EU kündigen und wieder verstärkte Personenkontrollen direkt an der Grenze einführen?,-1,,,1,,,,,Politisches System & Aussenbeziehungen,4
5224,"Eine kantonale Volksinitiative fordert, dass auf allen geeigneten Gebäuden bis spätestens 2040 Solaranlagen installiert werden müssen. Befürworten Sie dies?",Energie & Umwelt,<p><br></p>,<p><br></p>,StandardQuestion,Politisches System & Aussenbeziehungen,Soll die Schweiz die bilateralen Verträge mit der EU durch ein Freihandelsabkommen ersetzen (nach dem Vorbild des Brexit-Abkommens zwischen Grossbritannien und der EU)?,-1,-1,,,1,,,,Politisches System & Aussenbeziehungen,5
5226,"Sollen Landwirte nur noch dann Direktzahlungen erhalten, wenn sie einen erweiterten ökologischen Leistungsnachweis erbringen (z.B. Reduktion von Pestiziden und Antibiotika, Erhöhung des Tierwohls)?",Energie & Umwelt,<p><br></p>,<p><br></p>,StandardQuestion,Sicherheit & Polizei,Soll die Polizeipräsenz im Kanton Bern ausgebaut werden?,,,,1,,,,,Sicherheit & Polizei,1
